0,1,2,3
Gomez Gustavo,Toranzos Alejandro,3:1,5:1
Lockward Mariano,Casares Rafael,3:1,1:0
Gomez Gustavo,Casares Rafael,3:0,1:0
Toranzos Alejandro,Lockward Mariano,3:0,1:0
Gonzalez Daniel,Caballero Carlos,2:3,1:1
Rodriguez Alejandro,Pino Jonathan,2:3,0:1
Caballero Carlos,Pino Jonathan,2:3,0:1
Rodriguez Alejandro,Caballero Carlos,1:3,0:1
Silva Diogo,Soria Javier,3:2,1:0
Vedriel Carlos,Villanueva Nelson,3:0,1:0
Silva Diogo,Vedriel Carlos,0:3,0:2
Soria Javier,Villanueva Nelson,3:1,2:0
Vedriel Carlos,Soria Javier,3:2,1:0
Aguirre Marcelo,Caballero Carlos,4:0,2:0
Galvano Nicolas,Gomez Gustavo,1:4,1:9
Vedriel Carlos,Cifuentes Horacio,1:4,1:6
Santos Emil,Alto Gaston,4:1,3:3
Masip Joan,Pinho Diogo,3:4,0:1
Soria Javier,Pino Jonathan,1:4,0:1
Martinez Guillermo,Toranzos Alejandro,4:1,1:0
Medina Jan,Silva Andre,0:4,0:2
Aguirre Marcelo,Gomez Gustavo,3:4,7:4
Cifuentes Horacio,Santos Emil,4:0,1:1
Pinho Diogo,Pino Jonathan,4:2,2:0
Martinez Guillermo,Silva Andre,4:1,2:0
Gomez Gustavo,Cifuentes Horacio,0:4,2:3
Pinho Diogo,Martinez Guillermo,4:0,1:0
Gomez Gustavo,Pinho Diogo,4:1,1:0
Omotayo Olajide,Houdji Zinsou,4:0,1:0
Bryan Nigel,Ulucak Batuhan,0:4,0:1
Agbetoglo Mawussi,Qureshi Asim,4:0,2:0
Akakpo Kossi,Naseem Mohamed,4:3,1:0
Albalushi Salah,Yu Xinhang,0:4,0:1
Franklin Christopher,Rameez Muhammad,0:4,0:1
Li Ping,Albalooshi Abdulla,4:0,1:0
Omotayo Olajide,Al-Abbad Abdulaziz,4:0,1:0
Yang Xinyu,Ulucak Batuhan,3:4,0:1
Agbetoglo Mawussi,Alamian Nima,0:4,0:1
Li Ahmet,Oba Oba Kizito,4:0,1:0
Akakpo Kossi,Alkhadrawi Ali,0:4,0:1
Onaolapo Ojo,Yu Xinhang,1:4,0:1
Rameez Muhammad,Alamiyan Noshad,0:4,0:2
Li Ping,Omotayo Olajide,4:1,1:0
Ulucak Batuhan,Alamian Nima,0:4,0:1
Li Ahmet,Alkhadrawi Ali,4:1,1:0
Yu Xinhang,Alamiyan Noshad,1:4,0:1
Li Ping,Alamian Nima,3:4,0:2
Li Ahmet,Alamiyan Noshad,0:4,1:4
Li Ping,Li Ahmet,4:1,1:0
Alamian Nima,Alamiyan Noshad,3:4,2:5
Burgos Nicolas,Sanchez Alfredo,4:1,2:0
Palou Pablo,Chung Benny,4:0,1:0
Villalta Oscar,Ruano Kevin,4:3,1:1
St-Fleur Donika,Matias Francisco,0:4,0:1
Hidalgo Rodrigo,Gasio Guillermo,1:4,0:2
Tulloch Alessio,Vahnish Jacobo,0:4,0:1
O'young Luc,Teodoro Guilherme,0:4,0:1
Larez Alejandro,Lockward Mariano,3:4,1:1
Burgos Nicolas,Palou Pablo,4:0,2:0
Villalta Oscar,Matias Francisco,1:4,1:3
Gasio Guillermo,Vahnish Jacobo,4:1,1:0
Teodoro Guilherme,Lockward Mariano,4:0,3:1
Burgos Nicolas,Matias Francisco,4:1,2:0
Gasio Guillermo,Teodoro Guilherme,1:4,0:2
Burgos Nicolas,Teodoro Guilherme,4:3,3:1
Sanchez Alfredo,Palou Pablo,2:4,0:2
Villalta Oscar,Chung Benny,4:1,1:0
Ruano Kevin,Gasio Guillermo,0:4,0:1
Lockward Mariano,Larez Alejandro,3:4,1:1
O'young Luc,Vahnish Jacobo,0:4,0:1
Hidalgo Rodrigo,St-Fleur Donika,4:1,1:0
Tulloch Alessio,Matias Francisco,0:4,0:2
Teodoro Guilherme,Palou Pablo,4:0,4:1
Villalta Oscar,Gasio Guillermo,0:4,1:1
Larez Alejandro,Vahnish Jacobo,1:4,0:1
Hidalgo Rodrigo,Matias Francisco,4:2,2:1
Teodoro Guilherme,Gasio Guillermo,4:0,2:0
Vahnish Jacobo,Hidalgo Rodrigo,4:3,1:0
Teodoro Guilherme,Vahnish Jacobo,4:1,1:0
Gasio Guillermo,Hidalgo Rodrigo,4:3,2:0
Teodoro Guilherme,Toma Danilo,0:4,0:1
Jouti Eric,Toma Danilo,4:2,1:1
Jouti Eric,Teodoro Guilherme,4:0,1:0
Fogaca Leonardo,Barreto Israel,0:4,0:1
Keinath Thomas,Barreto Israel,4:1,1:0
Keinath Thomas,Fogaca Leonardo,4:0,1:0
Floritz Philipp,Costa Mario,4:0,1:0
Manhani Humberto,Zauli Isaac,4:0,1:0
Floritz Philipp,Zauli Isaac,4:1,1:0
Manhani Humberto,Costa Mario,4:1,1:0
Floritz Philipp,Manhani Humberto,4:2,2:0
Zauli Isaac,Costa Mario,4:0,1:0
Gomez Gustavo,Silva Diogo,4:1,1:0
Rosenberg Rafael,Santos Vitor,1:4,0:1
Gomez Gustavo,Santos Vitor,4:2,1:0
Rosenberg Rafael,Silva Diogo,0:4,0:1
Gomez Gustavo,Rosenberg Rafael,4:0,1:0
Santos Vitor,Silva Diogo,3:4,0:1
Lamadrid Juan,Pradella Thiago,4:1,1:0
Kodama Gustavo,Arasaki Fabio,1:4,0:1
Lamadrid Juan,Arasaki Fabio,4:0,1:0
Kodama Gustavo,Pradella Thiago,3:4,0:2
Lamadrid Juan,Kodama Gustavo,4:2,1:0
Arasaki Fabio,Pradella Thiago,1:4,0:1
Rodriguez Alejandro,Rosa Wesley,4:0,1:0
Anjos Luiz,Bignardi Sergio,4:0,2:0
Rodriguez Alejandro,Bignardi Sergio,4:0,1:0
Anjos Luiz,Rosa Wesley,4:2,1:0
Rodriguez Alejandro,Anjos Luiz,2:4,0:1
Bignardi Sergio,Rosa Wesley,2:4,0:1
Ishida Carlos,Narita Henrique,4:2,1:0
Tomoike Eduardo,Bernales Mauricio,4:1,1:0
Ishida Carlos,Bernales Mauricio,4:0,1:0
Tomoike Eduardo,Narita Henrique,3:4,0:1
Ishida Carlos,Tomoike Eduardo,4:2,1:1
Bernales Mauricio,Narita Henrique,0:4,0:1
Almeida Siddharta,Kohatsu Massao,0:4,1:1
Turrini Rafael,Yokota Gustavo,4:1,2:1
Almeida Siddharta,Yokota Gustavo,4:1,1:0
Turrini Rafael,Kohatsu Massao,1:4,0:2
Almeida Siddharta,Turrini Rafael,4:2,1:0
Yokota Gustavo,Kohatsu Massao,2:4,0:1
Calderano Hugo,Keinath Thomas,4:3,1:0
Ishida Carlos,Landrieu Andrea,0:4,0:1
Tsuboi Gustavo,Gomez Gustavo,4:1,2:0
Jouti Eric,Ghosh Soumyajit,4:1,2:0
Szocs Hunor,Lamadrid Juan,4:1,2:1
Kohatsu Massao,Anthony Amalraj,1:4,0:1
Matsumoto Cazuo,Floritz Philipp,2:4,0:2
Anjos Luiz,Baum Patrick,0:4,0:1
Calderano Hugo,Landrieu Andrea,4:2,2:0
Tsuboi Gustavo,Jouti Eric,4:0,2:0
Szocs Hunor,Anthony Amalraj,0:4,0:4
Floritz Philipp,Baum Patrick,4:1,1:0
Calderano Hugo,Tsuboi Gustavo,4:1,8:0
Anthony Amalraj,Floritz Philipp,4:3,1:0
Calderano Hugo,Anthony Amalraj,4:1,2:1
Kou Lei,Lakeev Vasily,4:3,1:2
Shetty Sanil,Habesohn Daniel,1:4,0:2
Andersson Harald,Cho Daeseong,1:4,0:1
Floras Robert,Vlasov Grigory,4:1,1:2
Flore Tristan,Mino Alberto,4:2,1:0
Brodd Viktor,Bai He,4:1,1:0
Gorak Daniel,Ruiz Romain,4:2,1:0
Yoshimura Kazuhiro,Monteiro Joao,2:4,0:1
Gerell Par,Chen Alexander,4:3,1:0
Alamian Nima,Robinot Quentin,1:4,0:1
Robles Alvaro,Pfeffer Simon,4:1,2:0
Togami Shunsuke,Konecny Tomas,4:1,1:0
Geraldo Joao,Levenko Andreas,4:1,2:0
Zatowka Patryk,Desai Harmeet,0:4,0:1
Gerassimenko Kirill,Kizukuri Yuto,2:4,2:4
Lakatos Tamas,Aruna Quadri,0:4,0:1
Gacina Andrej,Pletea Cristian,4:0,1:0
Lambiet Florent,Wang Xi,3:4,0:1
Matsudaira Kenji,Obeslo Michal,1:4,1:2
Sipos Rares,Alamiyan Noshad,2:4,1:1
Olah Benedek,Ecseki Nandor,4:2,1:0
Platonov Pavel,Gnanasekaran Sathiyan,0:4,0:1
Skachkov Kirill,Oversjo Mattias,4:0,2:0
Nordberg Hampus,Groth Jonathan,1:4,0:2
Pitchford Liam,Olivares Felipe,4:1,1:0
Vilchez Miguel,Walker Samuel,1:4,0:2
Salifou Abdel-Kader,Matsuyama Yuki,0:4,0:1
Sereda Peter,Duda Benedikt,0:4,0:1
Pucar Tomislav,Sirucek Pavel,4:2,1:0
Burov Viacheslav,Prokopcov Dmitrij,1:4,0:1
Akkuzu Can,Didukh Oleksandr,2:4,0:1
Zovko Vjekoslav,Gionis Panagiotis,0:4,0:1
Kou Lei,Habesohn Daniel,4:1,1:1
Cho Daeseong,Floras Robert,3:4,0:1
Flore Tristan,Brodd Viktor,4:0,1:0
Gorak Daniel,Monteiro Joao,0:4,1:2
Gerell Par,Robinot Quentin,3:4,2:1
Robles Alvaro,Togami Shunsuke,4:1,4:0
Geraldo Joao,Desai Harmeet,1:4,1:2
Kizukuri Yuto,Aruna Quadri,4:0,1:1
Gacina Andrej,Wang Xi,1:4,0:1
Obeslo Michal,Alamiyan Noshad,0:4,0:1
Olah Benedek,Gnanasekaran Sathiyan,2:4,0:2
Skachkov Kirill,Groth Jonathan,1:4,2:2
Pitchford Liam,Walker Samuel,3:4,0:1
Matsuyama Yuki,Duda Benedikt,1:4,0:1
Pucar Tomislav,Prokopcov Dmitrij,4:1,1:0
Didukh Oleksandr,Gionis Panagiotis,0:4,0:1
Kou Lei,Floras Robert,4:0,1:0
Flore Tristan,Monteiro Joao,4:3,1:1
Robinot Quentin,Robles Alvaro,4:1,1:0
Desai Harmeet,Kizukuri Yuto,4:1,1:0
Wang Xi,Alamiyan Noshad,4:3,1:0
Gnanasekaran Sathiyan,Groth Jonathan,1:4,0:3
Walker Samuel,Duda Benedikt,0:4,1:3
Pucar Tomislav,Gionis Panagiotis,0:4,1:2
Kou Lei,Flore Tristan,3:4,1:1
Robinot Quentin,Desai Harmeet,3:4,2:3
Wang Xi,Groth Jonathan,0:4,0:1
Duda Benedikt,Gionis Panagiotis,3:4,1:2
Flore Tristan,Desai Harmeet,4:3,2:2
Groth Jonathan,Gionis Panagiotis,1:4,1:2
Flore Tristan,Gionis Panagiotis,2:4,0:2
Chou Te-Hao,Zatowka Patryk,0:4,0:1
Soderlund Hampus,Levenko Andreas,2:4,0:1
Kojic Frane,Ecseki Nandor,3:4,2:1
Brodd Viktor,Jean Lauric,4:3,1:1
Baibuldin Andrei,Matsuyama Yuki,1:4,0:1
Lakatos Tamas,Han Yubeen,4:1,1:0
Valuch Alexander,Sipos Rares,0:4,0:2
Sereda Peter,Qiu Dang,4:2,1:0
Cho Daeseong,Izumo Takuto,4:3,1:0
Rech Daldosso Marco,Olivares Felipe,3:4,0:1
Ruiz Romain,Badowski Marek,4:2,5:2
Allegro Martin,Shetty Sanil,0:4,0:1
Afanador Brian,Pfeffer Simon,3:4,0:2
Oversjo Mattias,Rumgay Gavin,4:1,1:1
Ort Kilian,Mino Alberto,0:4,0:1
Panagitgun Yanapong,Soderlund Simon,3:4,0:2
Lakeev Vasily,Soderlund Simon,4:3,1:0
Lakeev Vasily,Panagitgun Yanapong,4:0,1:0
Alamian Nima,Semenov Andrey,4:2,1:0
Glod Eric,Eriksson Anders,4:3,1:0
Kizukuri Yuto,Eriksson Anders,4:2,1:0
Kizukuri Yuto,Glod Eric,4:0,1:0
Vilchez Miguel,Kolodziejczyk Maciej,4:3,1:0
Jorgic Darko,Kolodziejczyk Maciej,4:2,1:0
Jorgic Darko,Vilchez Miguel,2:4,0:2
Alexandrov Teodor,Ghosh Arjun,4:3,1:0
Yoshimura Kazuhiro,Ghosh Arjun,4:1,1:0
Yoshimura Kazuhiro,Alexandrov Teodor,4:0,1:0
Chen Alexander,Miralmasi Amin,4:1,1:0
Arvidsson Simon,Miralmasi Amin,4:3,1:0
Arvidsson Simon,Chen Alexander,2:4,2:1
Kaluzny Samuel,Passara Pattaratorn,4:3,1:0
Nordberg Hampus,Passara Pattaratorn,4:1,1:0
Nordberg Hampus,Kaluzny Samuel,4:1,1:0
Spelbus Alin,Mutti Matteo,2:4,1:1
Floras Robert,Mutti Matteo,4:2,1:0
Floras Robert,Spelbus Alin,4:1,2:0
Steger Bastian,Cho Daeseong,4:0,1:0
Jarvis Tom,Jorgic Darko,1:4,0:2
Hachard Antoine,Yoshimura Kazuhiro,2:4,0:1
Wu Jiaji,Nuytinck Cedric,1:4,0:1
Robles Alvaro,Yang Heng-Wei,4:0,1:0
Reitspies David,Alamian Nima,2:4,0:2
Habesohn Daniel,Rech Daldosso Marco,4:0,1:0
Ismailov Sadi,Pucar Tomislav,4:3,1:0
Wang Eugene,Cantero Jesus,3:4,0:1
Platonov Pavel,Kozul Deni,4:2,1:0
Gerassimenko Kirill,Landrieu Andrea,4:3,1:1
Baggaley Andrew,Flore Tristan,4:2,1:0
Brossier Benjamin,Kenjaev Zokhid,3:4,0:1
Bertrand Irvin,Walker Samuel,0:4,0:1
Alexandrov Teodor,Kojic Frane,1:4,0:2
Ort Kilian,Geraldo Joao,4:3,3:1
Mengel Steffen,Liventsov Alexey,0:4,1:1
Lakatos Tamas,Skachkov Kirill,0:4,0:1
Sambe Kohei,Shetty Sanil,4:2,1:0
Didukh Oleksandr,Vlasov Grigory,0:4,1:2
Karakasevic Aleksandar,Hung Tzu-Hsiang,4:3,1:0
Allegro Martin,Lundqvist Jens,0:4,0:1
Akkuzu Can,Tregler Tomas,1:4,0:1
Lorentz Romain,Alamiyan Noshad,4:2,3:3
Ionescu Ovidiu,Seyfried Joe,1:4,0:1
Robinot Alexandre,Devos Robin,4:2,1:2
Persson Jon,Levenko Andreas,4:1,1:0
Slatinsek Uros,Matsudaira Kenji,0:4,0:1
Robinot Quentin,Madrid Marcos,2:4,0:1
Mcbeath David,Salifou Abdel-Kader,3:4,0:2
Bai He,Gavlas Antonin,3:4,1:1
Matsuyama Yuki,Dyjas Jakub,4:2,1:0
Steger Bastian,Jorgic Darko,4:0,2:0
Yoshimura Kazuhiro,Nuytinck Cedric,4:2,2:1
Robles Alvaro,Alamian Nima,1:4,0:1
Habesohn Daniel,Ismailov Sadi,1:4,2:1
Cantero Jesus,Platonov Pavel,4:1,1:1
Gerassimenko Kirill,Baggaley Andrew,3:4,0:2
Kenjaev Zokhid,Walker Samuel,2:4,0:1
Kojic Frane,Ort Kilian,2:4,0:1
Liventsov Alexey,Skachkov Kirill,4:3,1:0
Sambe Kohei,Vlasov Grigory,3:4,0:1
Karakasevic Aleksandar,Lundqvist Jens,4:3,2:1
Tregler Tomas,Lorentz Romain,4:1,2:0
Seyfried Joe,Robinot Alexandre,3:4,0:1
Persson Jon,Matsudaira Kenji,4:3,1:0
Madrid Marcos,Salifou Abdel-Kader,4:0,1:1
Gavlas Antonin,Matsuyama Yuki,4:0,1:0
Steger Bastian,Yoshimura Kazuhiro,4:3,1:0
Alamian Nima,Ismailov Sadi,4:2,1:0
Cantero Jesus,Baggaley Andrew,4:1,1:0
Walker Samuel,Ort Kilian,1:4,1:1
Liventsov Alexey,Vlasov Grigory,4:2,1:0
Karakasevic Aleksandar,Tregler Tomas,3:4,0:3
Robinot Alexandre,Persson Jon,3:4,0:1
Madrid Marcos,Gavlas Antonin,2:4,1:1
Steger Bastian,Alamian Nima,4:2,1:0
Cantero Jesus,Ort Kilian,0:4,0:1
Liventsov Alexey,Tregler Tomas,2:4,1:1
Persson Jon,Gavlas Antonin,4:0,3:0
Steger Bastian,Ort Kilian,4:1,1:0
Tregler Tomas,Persson Jon,0:4,0:3
Steger Bastian,Persson Jon,4:3,2:0
Fucec Luka,Reitspies David,3:4,0:1
Rech Daldosso Marco,Wang Tai-Wei,4:2,1:0
Sun Chia-Hung,Levenko Andreas,3:4,0:2
Hung Tzu-Hsiang,Jha Kanak,4:1,1:0
Szudi Adam,Mcbeath David,0:4,1:1
Allegro Martin,Khanin Aleksandr,4:0,4:1
Polansky Tomas,Matsuyama Yuki,1:4,0:1
Aguirre Marcelo,Slatinsek Uros,1:4,0:1
Seyfried Joe,Lee Jungwoo,4:2,1:0
Valuch Alexander,Gavlas Antonin,0:4,0:1
Ort Kilian,Choi Wonjin,4:1,1:0
Cho Daeseong,Shetty Sanil,3:4,0:1
Lee Chia-Sheng,Kenjaev Zokhid,2:4,0:1
Ismailov Sadi,Bajger Ondrej,4:2,1:2
Kucera Stanislav,Alexandrov Teodor,3:4,0:1
Peto Zsolt,Alexandrov Teodor,2:4,0:1
Peto Zsolt,Kucera Stanislav,4:0,1:0
Chen Alexander,Martinko Jiri,3:4,0:1
Liventsov Alexey,Martinko Jiri,4:1,1:0
Liventsov Alexey,Chen Alexander,4:0,1:0
Diaw Ibrahima,Weerasinghe Helshan,4:2,1:0
Cantero Jesus,Weerasinghe Helshan,4:1,1:0
Cantero Jesus,Diaw Ibrahima,4:1,1:0
Kaluzny Samuel,Vilchez Miguel,3:4,0:1
Robinot Alexandre,Vilchez Miguel,4:2,2:0
Robinot Alexandre,Kaluzny Samuel,4:1,1:0
Spelbus Alin,Semenov Andrey,1:4,0:1
Landrieu Andrea,Semenov Andrey,4:2,3:0
Landrieu Andrea,Spelbus Alin,4:0,3:0
Lupulesku Lorencio,Perman Oscar,2:4,0:1
Yoshimura Kazuhiro,Perman Oscar,4:1,1:0
Yoshimura Kazuhiro,Lupulesku Lorencio,4:0,1:0
Shamruk Gleb,Radonjic Vladimir,3:4,0:1
Baggaley Andrew,Radonjic Vladimir,4:3,1:0
Baggaley Andrew,Shamruk Gleb,4:1,1:0
Franco Carlos,Miralmasi Amin,4:1,1:0
Platonov Pavel,Miralmasi Amin,4:0,1:0
Martinez Andres,Alto Luciano,3:4,3:1
Ishiy Vitor,Alto Luciano,4:0,1:0
Ishiy Vitor,Martinez Andres,4:0,1:0
Fierro Denys,Coydan Victor,0:4,0:1
Alto Gaston,Coydan Victor,4:0,1:0
Alto Gaston,Fierro Denys,4:1,1:0
Lara Emanuel,Campusano Guillermo,0:4,0:1
Floritz Philipp,Campusano Guillermo,4:0,1:0
Floritz Philipp,Lara Emanuel,4:0,1:0
Gonzales Rudy,Fernandez Marcelo,4:3,1:0
Cifuentes Horacio,Fernandez Marcelo,4:0,1:0
Cifuentes Horacio,Gonzales Rudy,4:0,1:0
Garcia Rodrigo,Daher Juan,0:4,0:1
Tabachnik Pablo,Daher Juan,4:2,1:0
Tabachnik Pablo,Garcia Rodrigo,4:3,1:0
Schaible Rene,Bayona Lucas,0:4,0:1
Lamadrid Juan,Bayona Lucas,0:4,1:3
Lamadrid Juan,Schaible Rene,4:2,1:0
Rodriguez Alejandro,Sepulveda Gustavo,4:3,1:0
Sanchi Francisco,Ushisima Gustavo,4:1,2:0
Rodriguez Alejandro,Ushisima Gustavo,4:1,1:0
Sanchi Francisco,Sepulveda Gustavo,4:0,1:0
Rodriguez Alejandro,Sanchi Francisco,4:0,1:0
Ushisima Gustavo,Sepulveda Gustavo,0:4,0:1
Galvano Nicolas,Sanchi Tomas,4:0,1:0
Turrini Rafael,Moya Manuel,1:4,0:1
Galvano Nicolas,Moya Manuel,4:3,2:1
Turrini Rafael,Sanchi Tomas,4:0,3:0
Galvano Nicolas,Turrini Rafael,4:2,1:0
Moya Manuel,Sanchi Tomas,4:0,1:0
Ghosh Soumyajit,Daher Juan,4:0,1:0
Rodriguez Alejandro,Cifuentes Horacio,0:4,2:1
Floritz Philipp,Bayona Lucas,4:0,1:0
Sanchi Francisco,Gomez Gustavo,4:3,3:0
Anthony Amalraj,Tabachnik Pablo,4:0,1:1
Moya Manuel,Alto Gaston,1:4,0:5
Ishiy Vitor,Galvano Nicolas,4:1,9:0
Alto Luciano,Szocs Hunor,0:4,0:1
Ghosh Soumyajit,Cifuentes Horacio,4:1,1:0
Anthony Amalraj,Alto Gaston,4:2,1:0
Ishiy Vitor,Szocs Hunor,1:4,0:1
Ghosh Soumyajit,Floritz Philipp,4:0,1:1
Anthony Amalraj,Szocs Hunor,4:1,4:0
Ghosh Soumyajit,Anthony Amalraj,4:2,4:0
Coydan Victor,Moya Manuel,1:4,0:1
Lamadrid Juan,Sanchi Francisco,1:4,3:3
Campusano Guillermo,Daher Juan,2:4,0:1
Jeoung Youngsik,Szocs Hunor,2:4,1:1
Mengel Steffen,Yoshimura Maharu,3:4,0:1
Falck Mattias,Walther Ricardo,3:4,2:2
Tazoe Kenta,Lee Sangsu,4:3,1:0
Matsudaira Kenta,Jang Woojin,4:1,1:3
Jeong Sangeun,Filus Ruwen,0:4,1:1
Groth Jonathan,Gao Ning,1:4,0:2
Park Jeongwoo,Boll Timo,0:4,0:1
Niwa Koki,Cho Seungmin,4:1,1:2
Franziska Patrick,Oshima Yuya,4:1,1:0
Karlsson Kristian,Ionescu Ovidiu,4:2,4:1
Morizono Masataka,Gauzy Simon,1:4,2:2
Freitas Marcos,Duda Benedikt,4:0,5:2
Yoshimura Kazuhiro,Chen Chien-An,0:4,1:1
Muramatsu Yuto,Lim Jonghoon,0:4,3:2
Kallberg Anton,Chuang Chih-Yuan,1:4,1:1
Szocs Hunor,Yoshimura Maharu,2:4,0:1
Walther Ricardo,Tazoe Kenta,4:1,1:0
Matsudaira Kenta,Filus Ruwen,4:1,3:1
Gao Ning,Boll Timo,0:4,0:9
Niwa Koki,Franziska Patrick,1:4,4:2
Karlsson Kristian,Gauzy Simon,4:0,4:3
Freitas Marcos,Chen Chien-An,4:2,3:0
Lim Jonghoon,Chuang Chih-Yuan,4:3,3:1
Yoshimura Maharu,Walther Ricardo,4:1,2:2
Matsudaira Kenta,Boll Timo,0:4,0:4
Franziska Patrick,Karlsson Kristian,4:0,5:0
Freitas Marcos,Lim Jonghoon,1:4,0:2
Yoshimura Maharu,Boll Timo,2:4,1:3
Franziska Patrick,Lim Jonghoon,4:1,1:0
Boll Timo,Franziska Patrick,4:0,3:0
Kim Byunghyeon,Koriyama Hokuto,0:4,0:1
Yang Heng-Wei,Matsuyama Yuki,2:4,0:1
Hwang Min,Kallberg Anton,0:4,0:1
Wang Tai-Wei,Kim Minhyeok,0:4,1:1
Lim Jonghoon,Peng Wang-Wei,4:0,3:0
Igarashi Fumiya,Park Ganghyeon,1:4,1:1
Liao Cheng-Ting,Woo Hyeonggyu,4:0,1:0
Cho Daeseong,Sakai Asuka,2:4,0:1
Kim Donghyun,Izumo Takuto,4:0,1:0
Kim Woojin,Hung Tzu-Hsiang,3:4,0:1
Szocs Hunor,Seo Hyundeok,4:0,1:1
Choi Inhyeok,Chiang Hung-Chieh,4:2,1:0
Park Gyeongtae,Tazoe Kenta,2:4,0:1
An Jaehyun,Takami Masaki,4:1,2:0
Hwang Minha,Yoshimura Kazuhiro,1:4,0:3
Pletea Cristian,Kang Jinho,4:2,1:0
Jeong Sangeun,Oikawa Mizuki,4:1,1:0
Pang Xue Jie,Park Jeongwoo,0:4,0:2
Kizukuri Yuto,Yeh Chih-Wei,4:0,1:0
Duda Benedikt,Koriyama Hokuto,4:0,1:0
Matsuyama Yuki,Kallberg Anton,0:4,2:1
Franziska Patrick,Kim Minhyeok,4:0,1:0
Lim Jonghoon,Harimoto Tomokazu,4:3,2:2
Morizono Masataka,Park Ganghyeon,4:3,1:0
Liao Cheng-Ting,Cho Seungmin,3:4,0:3
Ionescu Ovidiu,Sakai Asuka,4:2,1:0
Kim Donghyun,Gao Ning,2:4,0:3
Walther Ricardo,Hung Tzu-Hsiang,4:2,3:0
Szocs Hunor,Choi Inhyeok,4:0,1:0
Kim Minseok,Tazoe Kenta,2:4,0:1
An Jaehyun,Mengel Steffen,1:4,0:1
Li Ahmet,Yoshimura Kazuhiro,0:4,0:1
Pletea Cristian,Jeong Sangeun,1:4,0:1
Olah Benedek,Park Jeongwoo,1:4,0:1
Kizukuri Yuto,Jang Woojin,0:4,0:3
Sarhan Zubair,Kang Wi Hun,0:3,0:1
Fahes Ghaleb,Pang Xue Jie,0:3,0:1
Jeong Sangeun,Gerassimenko Kirill,3:1,2:0
Jiang Tianyi,Billah Mahbub,3:0,1:0
Karunarathna Milinda,Teshaboev Kutbidillo,3:2,1:0
Aji Donny,Rahim Abdul,3:0,1:0
Cheong Chi Cheng,Chen Chien-An,1:3,0:1
Yoshimura Maharu,Abdulwahhab Mohammed,3:0,1:0
Nguyen Anh Tu,Ranasingha Imesh,3:0,1:0
Salameh Mohammad,Gnanasekaran Sathiyan,0:3,0:1
Yang Heng-Wei,Leong Chee Feng,3:1,3:0
Yakubov Davut,Passara Pattaratorn,0:3,0:1
Sultonov Islombek,Jargalsaikhan Munkhzorig,3:0,1:0
Choe Il,Al Kharusi Said,3:0,1:0
Bhagwani Deepash,Parag Masud Rana,3:0,1:0
Ahmedov Rashid,Ghosh Soumyajit,0:3,0:1
Ho Kwan Kit,Alkhamis Sultan,3:0,1:0
Kenjaev Zokhid,Albalooshi Abdulla,3:1,1:0
Wongsiri Nikom,Kenzhigulov Aidos,3:0,1:0
Khader Khaled,Gao Ning,0:3,0:1
Jang Woojin,Harb Ahmad,3:0,1:0
Poh Shao Feng Ethan,Wang Chun,3:0,1:0
Taherkhani Hamidreza,Tulguur Chinzorig,3:2,1:0
Doan Ba Tuan Anh,Harimoto Tomokazu,0:3,0:1
Liao Cheng-Ting,Ibrahim Muhd Shakirin,3:2,2:0
Ahmed Moosa,Sangpao Komgrit,0:3,0:1
Jayasingha Nirmala,Sagyndykov Talgat,3:2,1:0
Qureshi Asim,Aldmaisy Zeyad,0:3,0:1
Wahid Habibie,Haiqal Muhamad Ashraf,3:1,1:0
Chowdhury Manash,Hung Tzu-Hsiang,0:3,0:1
Ng Pak Nam,Alraisi Asad,3:0,1:0
Cheong Chi Chon,Lotfijanabadi Miad,0:3,0:1
Dinh Quang Linh,Tay Ming Han Maxxe,2:3,0:1
Batkhishig Bilegt,Oshima Yuya,0:3,0:1
Lin Gaoyuan,Ranjana Chalitha,3:0,1:0
Rouintanesfahani Mohammadali,Iakupbaev Alisher,3:0,1:0
Alkhadrawi Ali,Levchenko Gennadiy,3:2,1:0
Abdulla Mohammed,Desai Harmeet,0:3,0:1
Kim Minseok,Pak Sin Hyok,3:2,1:0
Al-Malki Nawaf,Wisutmaythangkoon Supanut,0:3,0:1
Shaffan Mohamed,Allanazarov Guychgeldi,2:3,0:1
Nurgeldiyev Annaberdi,Alblooshi Essa,1:3,0:1
Santoso Ficky,Al Qarani Said,3:0,1:0
Chang Hoi Wa,Lam Siu Hang,0:3,0:1
Tanviriyavechakul Padasak,Ro Kwang Jin,0:3,0:1
Zholudev Denis,Mirzokhidov Mirakbar,3:0,1:0
Abo Yaman Zaid,Lim Zheng Jie Edric,3:1,1:0
Naseem Mohamed,Achanta Sharath Kamal,0:3,0:1
Lee Sangsu,Choong Javen,3:0,1:0
Ahmadian Amin,Alhourani Hasan,3:0,2:0
Bu Shulaybi Abdulaziz,Sirisena Rohan,3:2,1:0
Sun Chia-Hung,Nguyen Duc Tuan,3:0,1:0
Ahmedov Ravil,Negara Muhammad,0:3,0:1
Chinbat Erdenebayar,Rameez Muhammad,0:3,0:1
Ma Long,Kang Wi Hun,3:0,1:0
Pang Xue Jie,Jeong Sangeun,1:3,0:2
Jiang Tianyi,Karunarathna Milinda,3:0,1:0
Aji Donny,Chen Chien-An,0:3,0:1
